# GISP2 Sodium (Na+)
# meters,thousand years before present,PPB
Depth,Age,Sodium
286.428,1.0737,5.095
286.872,1.0759,6.205
287.315,1.0777,4.727
287.757,1.0796,5.12
288.2,1.0819,4.563
288.644,1.084,3.63
289.087,1.0859,3.619
289.529,1.0879,4.267
289.971,1.0898,4.959
290.414,1.0916,4.299
290.857,1.0935,5.522
291.3,1.0954,4.986
291.742,1.0972,8.557
292.184,1.099,4.166
292.626,1.101,4.313
293.068,1.1027,5.89
293.511,1.1044,2.89
293.953,1.1062,6.212
294.395,1.1082,4.014
294.837,1.1103,2.481
295.279,1.1123,5.699
295.72,1.114,3.025
296.162,1.1159,4.46
296.604,1.1181,4.246
297.046,1.1201,5.124
297.487,1.122,3.391
297.928,1.1239,4.543
298.37,1.1257,5.982
298.72,1.1272,6.391
299.161,1.1291,5.104
299.693,1.1312,3.814
300.135,1.1328,6.081
300.575,1.1345,4.177
301.017,1.1364,4.685
301.284,1.1376,2.586
302.01,1.1404,4.173
302.339,1.1418,7.564
302.779,1.1438,4.807
303.22,1.1459,4.924
303.661,1.148,7.483
304.101,1.15,3.474
304.541,1.152,4.557
304.982,1.1538,8.679
305.422,1.1558,3.816
305.863,1.1577,3.648
306.303,1.1593,5.062
306.712,1.1609,3.708
307.272,1.1634,3.377
307.623,1.1647,3.402
308.062,1.1667,6.239
308.502,1.1686,4.419
308.942,1.1704,2.697
309.382,1.1723,4.711
309.821,1.1745,2.782
310.261,1.1767,3.844
310.7,1.1786,6.959
311.139,1.1804,4.759
311.579,1.1824,4.278
312.019,1.1843,3.936
312.457,1.1861,4.469
312.897,1.1882,3.846
313.336,1.1903,3.989
313.774,1.1923,4.414
314.214,1.1943,4.373
314.652,1.1961,3.694
315.091,1.1978,5.692
315.529,1.1994,4.485
315.969,1.2012,2.635
316.407,1.2031,4.803
316.846,1.2049,3.469
317.284,1.2066,3.232
317.722,1.2084,5.699
318.161,1.2103,2.802
318.599,1.2123,5.318
319.037,1.2143,4.517
319.475,1.216,5.398
319.913,1.2179,3.837
320.351,1.22,6.134
320.789,1.2221,2.246
321.226,1.224,4.975
321.664,1.2259,4.593
322.102,1.2279,3.6
322.539,1.23,3.152
322.977,1.232,2.621
323.414,1.2341,3.347
323.852,1.2363,4.924
324.289,1.2385,3.212
324.726,1.2405,2.4
325.163,1.2427,4.138
325.601,1.245,2.246
326.038,1.247,2.881
326.476,1.249,4.835
326.912,1.251,3.805
327.349,1.2528,2.609
327.786,1.2546,6.283
328.223,1.2566,4.761
328.659,1.2583,6.881
329.096,1.2603,3.621
329.532,1.2624,6.214
329.969,1.264,3.469
330.363,1.2654,4.113
330.854,1.2675,5.531
331.277,1.2693,3.228
331.714,1.2712,4.269
332.15,1.273,3.671
332.586,1.2747,2.8
333.022,1.2767,3.968
333.458,1.2789,7.704
333.894,1.2809,2.556
334.329,1.2829,5.221
334.628,1.2842,8.695
334.945,1.2853,4.161
335.505,1.2878,5.334
336.16,1.2908,7.748
336.815,1.2935,3.908
337.465,1.2962,4.391
338.115,1.2991,3.311
338.765,1.3024,6.943
339.415,1.3057,4.437
340,1.3084,5.839
340.495,1.3101,5.219
340.965,1.3122,4.276
341.435,1.3144,2.437
341.91,1.3165,3.081
342.385,1.3187,5.724
342.86,1.3209,4.782
343.335,1.323,3.127
343.81,1.325,6.322
344.285,1.3275,4.276
344.76,1.3305,4.115
345.235,1.3333,4.782
345.615,1.3352,8.138
